nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
MAK Black,85.0,https://nae-vegan.com/it-it/products/mak-black,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Mak Sandali Vegani Comfort in Nero,Nae,"80–99,99€"
PODA Black,85.0,https://nae-vegan.com/it-it/products/poda-black,donna,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Poda Black Vegan Flats in AppleSkin,Nae,"80–99,99€"
LANTA Black,85.0,https://nae-vegan.com/it-it/products/lanta-black,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Lanta Nero Appartamenti Vegani in Pelle di Mela,Nae,"80–99,99€"
Loto Grey,85.0,https://nae-vegan.com/it-it/products/loto-grey,donna,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Loto Grigio Sandali Vegan Criss-Cross Slingback,Nae,"80–99,99€"
LIPE Black,85.0,https://nae-vegan.com/it-it/products/lipe-black,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Flats Lipe Black Vegan in Piñatex,Nae,"80–99,99€"
QUINCE Black,68.0,https://nae-vegan.com/it-it/products/quince-black,donna,Sandali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Quince Black Criss-Cross Vegan Sandals,Nae,"<79,99€"
SAMUI Green,85.0,https://nae-vegan.com/it-it/products/samui-green,donna,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sandali Vegani verdi Samui in Piñatex,Nae,"80–99,99€"
TEA White,165.0,https://nae-vegan.com/it-it/products/tea-white,donna,Stivali,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",White,Tea White Stivali Vegani Chuunky in Pelle di Mela,Nae,>=120€
PETA Black,145.0,https://nae-vegan.com/it-it/products/peta-black,donna,Scarpe,35 - 46,"['35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Peta Nero Stivali Vegani da Deserto 100% Biologici e Biodegradabili,Nae,>=120€
PAM Black,99.0,https://nae-vegan.com/it-it/products/pam-black,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Pam Black Scarpe Vegane da Donna,Nae,"80–99,99€"
PAM Beige,99.0,https://nae-vegan.com/it-it/products/pam-vegan-shoes-beige,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Pam Black e Nude Scarpe Vegane da Donna,Nae,"80–99,99€"
Pam and Batea Beige,139.0,https://nae-vegan.com/it-it/products/pam-and-batea-beige,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Beige,Beige and black ballerinas with a matching belt – 15% off!,Nae,>=120€
OBE Black,135.0,https://nae-vegan.com/it-it/products/obe-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Obe Nero Scarpe Derby Vegane Piatte,Nae,>=120€
RODA Black,135.0,https://nae-vegan.com/it-it/products/roda-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Roda Scarpe mocassini vegani neri,Nae,>=120€
MOE Black,125.0,https://nae-vegan.com/it-it/products/moe-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Moe Black Scarpe Vegane da Donna,Nae,>=120€
Moe and Mura Black,150.0,https://nae-vegan.com/it-it/products/moe-mura-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Women’s black Derby shoes and matching belt with 15% off!,Nae,>=120€
ELENA Black,128.0,https://nae-vegan.com/it-it/products/elena-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Elena Nero Mocassino Vegano Suola Grossa,Nae,>=120€
DEME Black,99.0,https://nae-vegan.com/it-it/products/deme-black,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Ballerine vegane nere Deme in pelle di melo,Nae,"80–99,99€"
MELITA Black,110.0,https://nae-vegan.com/it-it/products/melita-black,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Melita Ballerina piatta vegana nera,Nae,"100–119,99€"
MELITA Green,110.0,https://nae-vegan.com/it-it/products/melita-green,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Green,Melita Geen Vegan Ballerina Piatta,Nae,"100–119,99€"
MELITA Red,110.0,https://nae-vegan.com/it-it/products/melita-red,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Red,Melita Red Ballerina piatta vegana,Nae,"100–119,99€"
MELITA CORK Brown,110.0,https://nae-vegan.com/it-it/products/melita-cork-brown,donna,Ballerinas,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Brown,Melita Cork Ballerina piatta vegana,Nae,"100–119,99€"
THYME Black,135.0,https://nae-vegan.com/it-it/products/thyme-black,donna,Scarpe Piatte,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Thyme Black Casual Vegan Sneakers in Piñatex,Nae,>=120€
FIORE Black,125.0,https://nae-vegan.com/it-it/products/fiore-black,donna,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '42']",Black,Fiore Nero Mocassino Vegano con Suola Grossa,Nae,>=120€
