nome_prodotto,prezzo,link,sesso,categoria,range taglie,taglie,colore,descrizione,brand,fascia_prezzo
TANNA Black,85.0,https://nae-vegan.com/it-it/products/tanna_black_pinatex,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Sandali vegani anatomici con design incrociato verde,Nae,"80–99,99€"
TANNA Green,85.0,https://nae-vegan.com/it-it/products/tanna_green_pinatex,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Anatomical shape vegan sandals with intertwined strap design,Nae,"80–99,99€"
Mikel Brown,135.0,https://nae-vegan.com/it-it/products/mikel-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Mikel Black Vegan Shoes,Nae,>=120€
Mikel and Bruc Brown,150.0,https://nae-vegan.com/it-it/products/mikel-bruc-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Brown bluchers and matching belt with 15% off!,Nae,>=120€
Mikel Black,135.0,https://nae-vegan.com/it-it/products/mikel-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Mikel Black Vegan Shoes,Nae,>=120€
JAKE Brown,149.0,https://nae-vegan.com/it-it/products/jake-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Jake Brown - Cappelli classici vegani,Nae,>=120€
JAKE Black,149.0,https://nae-vegan.com/it-it/products/jake-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Jake Nero Bluchers Vegani Classici,Nae,>=120€
JAKE CORK Brown,149.0,https://nae-vegan.com/it-it/products/jake-cork-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Jake Cork Classic Vegan Bluchers,Nae,>=120€
Jake and Begur Black,162.0,https://nae-vegan.com/it-it/products/jake-and-begur-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Classic black bluchers and matching belt with 15% off!,Nae,>=120€
DARIO Black,138.0,https://nae-vegan.com/it-it/products/dario-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Scarpa da barca Dario in pelle scamosciata nera,Nae,>=120€
DARIO Beige,138.0,https://nae-vegan.com/it-it/products/dario-beige,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Beige,Scarpa da barca Dario in beige in pelle scamosciata,Nae,>=120€
LUKE Beige,138.0,https://nae-vegan.com/it-it/products/luke-beige,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Beige,Derby vegano Luke da uomo in beige,Nae,>=120€
LUKE Brown,138.0,https://nae-vegan.com/it-it/products/luke-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Derby vegano Luke da uomo in marrone,Nae,>=120€
MILES Black,128.0,https://nae-vegan.com/it-it/products/miles-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Miles Black Scarpe Monkstrap Vegane da Uomo,Nae,>=120€
EMIL Brown,135.0,https://nae-vegan.com/it-it/products/emil-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Scarpa Derby Emil in sughero,Nae,>=120€
EDU Brown,135.0,https://nae-vegan.com/it-it/products/edu-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Edu Cork Vegan Derby Cap Toe,Nae,>=120€
HECTOR Black,155.0,https://nae-vegan.com/it-it/products/hector-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Scarpa Oxford Hector da uomo,Nae,>=120€
NOLAN Brown,135.0,https://nae-vegan.com/it-it/products/nolan-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Nolan Derby da uomo in sughero - Scarpe vegane,Nae,>=120€
Adrien Beige,135.0,https://nae-vegan.com/it-it/products/adrien-beige,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Beige,Adrien Scarpe Vegane Beige,Nae,>=120€
ARUM Beige,120.0,https://nae-vegan.com/it-it/products/arum-beige,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Beige,Arum Beige Scarpe Derby Vegane con Tacco Grosso,Nae,>=120€
ARUM Grey,120.0,https://nae-vegan.com/it-it/products/arum-grey,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Arum Grigio Scarpe Derby Vegane con Tacco Grosso,Nae,>=120€
THYME Black,135.0,https://nae-vegan.com/it-it/products/thyme-black,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Thyme Black Casual Vegan Sneakers in Piñatex,Nae,>=120€
TANGO Brown,128.0,https://nae-vegan.com/it-it/products/tango-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Tango Penny Loafer Vegan Mocassins,Nae,>=120€
SIRO Black,145.0,https://nae-vegan.com/it-it/products/siro-black-1,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Siro Black Dress Vegan Shoes for Men,Nae,>=120€
BERLIN Green,125.0,https://nae-vegan.com/it-it/products/berlin-green,uomo,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sneaker bassa Berlin Verde in Pelle di Mela e Piñatex,Nae,>=120€
Berlin Green + Kit di pulizia,149.0,https://nae-vegan.com/it-it/products/berlin-verde-kit-di-pulizia,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,,Nae,>=120€
BERLIN Red,125.0,https://nae-vegan.com/it-it/products/berlin-red,uomo,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Red,Sneaker Berlin Red Low Top in Pelle di Mela e Piñatex,Nae,>=120€
BERLIN White,125.0,https://nae-vegan.com/it-it/products/berlin-white,uomo,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",White,Sneaker Berlin Low Top bianca in pelle di melo e piñatex,Nae,>=120€
LONDON Green,135.0,https://nae-vegan.com/it-it/products/london-green,uomo,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sneaker alta London Green in AppleSkin e Piñatex,Nae,>=120€
LONDON Red,135.0,https://nae-vegan.com/it-it/products/london-red,uomo,Sneakers,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Red,Sneaker alta London Red in AppleSkin e Piñatex,Nae,>=120€
KOMO Green,99.0,https://nae-vegan.com/it-it/products/komo-green,uomo,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Green,"Komo Verde, top basso vegano in microfibra riciclata",Nae,"80–99,99€"
KOMO White,99.0,https://nae-vegan.com/it-it/products/komo-white,uomo,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",White,Komo White Vegan Low top in microfibra riciclata,Nae,"80–99,99€"
Clove Black,99.0,https://nae-vegan.com/it-it/products/clove-black,uomo,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Clove Nero Scarpe da ginnastica basse vegane Lace-Up,Nae,"80–99,99€"
HADE Grey,99.0,https://nae-vegan.com/it-it/products/hade-grey,uomo,Sneakers,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Grey,Hade Grigio Sneaker Vegan Low-Top,Nae,"80–99,99€"
JOR Black,99.0,https://nae-vegan.com/it-it/products/jor-black,uomo,Scarpe,36 - 42,"['36', '37', '38', '39', '40', '41', '43', '44', '45', '46', '47', '42']",Black,Jor Nero Scarpe da corsa vegane,Nae,"80–99,99€"
JOR White,99.0,https://nae-vegan.com/it-it/products/jor-white,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",White,Jor Nero Scarpe da corsa vegane,Nae,"80–99,99€"
JOR Blue,99.0,https://nae-vegan.com/it-it/products/jor-blue,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Blue,Jor Blu Scarpe da corsa vegane,Nae,"80–99,99€"
Clove Red,99.0,https://nae-vegan.com/it-it/products/clove-red,uomo,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Red,Clove Red vegan Sneakers Low Top Lace-Up,Nae,"80–99,99€"
REDO Black,75.0,https://nae-vegan.com/it-it/products/redo-black,uomo,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Redo Nero Sneakers alte vegane stringate,Nae,"<79,99€"
REDO Grey,75.0,https://nae-vegan.com/it-it/products/redo-grey,uomo,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Grey,Redo Grigio Sneakers alte vegane stringate,Nae,"<79,99€"
SAMET Black,85.0,https://nae-vegan.com/it-it/products/samet-black,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Sandali Vegani Neri Samet in Piñatex,Nae,"80–99,99€"
SAMET Green,85.0,https://nae-vegan.com/it-it/products/samet-green,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sandali Vegani verdi Samet in Piñatex,Nae,"80–99,99€"
SAMUI Green,85.0,https://nae-vegan.com/it-it/products/samui-green,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Sandali Vegani verdi Samui in Piñatex,Nae,"80–99,99€"
MAK Black,85.0,https://nae-vegan.com/it-it/products/mak-black,uomo,Sandali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Mak Sandali Vegani Comfort in Nero,Nae,"80–99,99€"
Loto Grey,85.0,https://nae-vegan.com/it-it/products/loto-grey,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Loto Grigio Sandali Vegan Criss-Cross Slingback,Nae,"80–99,99€"
PODA Black,85.0,https://nae-vegan.com/it-it/products/poda-black,uomo,Scarpe,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Poda Black Vegan Flats in AppleSkin,Nae,"80–99,99€"
AGUS Grey,125.0,https://nae-vegan.com/it-it/products/agus-grey,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Grey,Agus Grigio Stivaletti Vegan Desert,Nae,>=120€
AGUS Brown,125.0,https://nae-vegan.com/it-it/products/agus-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,"Agus Marrone, stivaletti vegani da deserto",Nae,>=120€
BASTI Black,135.0,https://nae-vegan.com/it-it/products/basti-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Basti Nero Stivale Chelsea Vegano,Nae,>=120€
BASTI Brown,135.0,https://nae-vegan.com/it-it/products/basti-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Basti Marrone Stivaletto Vegano Chelsea,Nae,>=120€
Basti Brown and Belt Mila,153.0,https://nae-vegan.com/it-it/products/basti-brown-belt-mila,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Mila,Brown Chelsea boots and reversible belt (brown/black) with 15% off!,Nae,>=120€
ADAR Green,135.0,https://nae-vegan.com/it-it/products/adar-green,uomo,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Green,Adar Verde Stivaletti invernali vegani da montagna,Nae,>=120€
ADAR Grey,135.0,https://nae-vegan.com/it-it/products/adar-grey,uomo,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Grey,Adar Grigio Stivaletto invernale di montagna vegano,Nae,>=120€
CASIAN Brown,145.0,https://nae-vegan.com/it-it/products/casian-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Stivali Chelsea Vegan Brogue Marrone Casian,Nae,>=120€
EBAN Green,135.0,https://nae-vegan.com/it-it/products/eban-green,uomo,Scarpe,40 - 46,"['40', '41', '42', '43', '44', '45', '46']",Green,Scarpe da ginnastica alte vegane Eban Green,Nae,>=120€
FABER Black,135.0,https://nae-vegan.com/it-it/products/faber-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Faber Nero Stivale Chelsea Vegano,Nae,>=120€
FABER Brown,135.0,https://nae-vegan.com/it-it/products/faber-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Faber Stivale Chelsea Vegano Marrone,Nae,>=120€
GADEA Black,145.0,https://nae-vegan.com/it-it/products/gadea-black,uomo,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Black,Gadea Stivale caldo da montagna vegano nero,Nae,>=120€
GADEA Brown,145.0,https://nae-vegan.com/it-it/products/gadea-brown,uomo,Stivali,36 - 47,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Brown,Gadea Stivale caldo di montagna vegano marrone,Nae,>=120€
LORE Brown,140.0,https://nae-vegan.com/it-it/products/lore-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Lore Stivali Vegani Derby Marrone,Nae,>=120€
LUKAS Black,135.0,https://nae-vegan.com/it-it/products/lukas-black,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Black,Lukas Nero Stivaletti Chelsea Vegan,Nae,>=120€
LUKAS Brown,135.0,https://nae-vegan.com/it-it/products/lukas-brown,uomo,Scarpe,40 - 47,"['40', '41', '42', '43', '44', '45', '46', '47']",Brown,Lukas Marrone Stivali Vegani alla Caviglia Chelsea,Nae,>=120€
NOAH PINATEX White,125.0,https://nae-vegan.com/it-it/products/noah-pinatex-white,uomo,Scarpe,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",White,,Nae,>=120€
RESTA Black,138.0,https://nae-vegan.com/it-it/products/resta-black,uomo,Stivali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Resta Nero Stivali Vegani alla Caviglia Allacciati,Nae,>=120€
MARCA Black,135.0,https://nae-vegan.com/it-it/products/marca-black,uomo,Stivali,36 - 46,"['36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",Black,Marca Black Stivale di Stile Militare Vegano,Nae,>=120€
