nome_prodotto,prezzo,link,sesso,categoria,sku,taglie,colore,materiale e composizione,descrizione,brand,fascia_prezzo
"Sneakers Save the ocean bianco nero, vegane ecologiche",87.99,https://www.privatoeco.com//products/sneakers-save-the-ocean-bianco-rosa-vegane-ecologiche,donna,Sneakers,SVN7,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 2,5 cm. Imballaggio ecologico. 100% Made in Italy.",Privato,"80–99,99€"
"Stivali Jane marrone, vegani ecologici",95.0,https://www.privatoeco.com//products/stivali-jane-marrone-vegani-ecologici,donna,Stivali,SJM6,36 - 41,marrone,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivaletti leggeri marroni con tacco quadrato e zip laterale per un facile ingresso del piede. Cinturino fisso non regolabile.Circonferenza gambale 28cm.Altezza gambale 15 cm.Altezza tacco 6 cm.   Modello con calzata leggermente piccola, ideali per piedi sottili. In caso di dubbi tra due numeri, suggeriamo la taglia più grande. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali Jane nero, vegani ecologici",95.0,https://www.privatoeco.com//products/stivali-jane-nero-vegani-ecologici,donna,Stivali,SJN6,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivaletti leggeri con tacco quadrato e zip laterale per un facile ingresso del piede. Cinturino fisso non regolabile.Circonferenza gambale 28cm.Altezza gambale 15 cm.Altezza tacco 6 cm.   Modello con calzata leggermente piccola, ideali per piedi sottili. In caso di dubbi tra due numeri, suggeriamo la taglia più grande. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali tronchetti Diana marrone, vegani ecologici",96.0,https://www.privatoeco.com//products/stivali-tronchetti-diana-marrone-vegani-ecologici,donna,Stivali,SDM6,36 - 41,marrone,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivali tronchetti marrone leggeri con zip laterale per un facile ingresso del piede. Cinturino fisso non regolabile.Circonferenza gambale 30cm.Altezza gambale 19cm.Altezza tacco 6cm.   Modello con calzata leggermente piccola, ideali per piedi sottili. In caso di dubbi tra due numeri, suggeriamo la taglia più grande. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali tronchetti Diana nero, vegani ecologici",96.0,https://www.privatoeco.com//products/tronchetti-diana-nero-vegani-ecologici,donna,Stivali,SDN6,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivali tronchetti neri leggeri con zip laterale per un facile ingresso del piede. Cinturino fisso non regolabile.Circonferenza gambale 30cm.Altezza gambale 19cm.Altezza tacco 6cm.   Modello con calzata leggermente piccola, ideali per piedi sottili. In caso di dubbi tra due numeri, suggeriamo la taglia più grande. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali Sissi marrone, vegani ecologici",99.0,https://www.privatoeco.com//products/stivali-sissi-marrone-vegani-ecologici,donna,Stivali,SSM6,36 - 41,marrone,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivali vegani color marrone alti fino al ginocchio con zip laterale per facile inserimento del piede.Gambale con dettaglio elasticizzato per un maggior comfort.Cinturino fisso non regolabile.Circonferenza gambale 42cm.Altezza gambale 36cm.Altezza suola 2cm.   Rivisitazione dei classici stivali da equitazione in versione sostenibile e cruelty-free. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Stivali Sissi nero, vegani ecologici",99.0,https://www.privatoeco.com//products/stivali-sissi-nero-vegani-ecologici,donna,Stivali,SSN6,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: TR riciclato ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Stivali vegani alti fino al ginocchio con zip laterale per facile inserimento del piede.Gambale con dettaglio elasticizzato per un maggior comfort.Cinturino fisso non regolabile.Circonferenza gambale 42cm.Altezza gambale 36cm.Altezza suola 2cm.   Rivisitazione dei classici stivali da equitazione in versione sostenibile e cruelty-free. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Mocassini ADM  nero lucido, vegani ecologici",85.99,https://www.privatoeco.com//products/mocassini-adm-nero-lucido-vegani-ecologici,donna,Mocassini,MA5,35 - 40,lucido,Tomaia: 60% PU 40% PAFodera: 80% PA 20%COSuola: gomma termo leggeraEtichetta: carta piantabileScatola: carta riciclabile,Mocassini vegani modello silp on color nero lucido. Altezza suola 5cm.   Imballaggio ecologico.   Questo prodotto fa parte di una collezione co-branding in edizione limitata. PRIVATO ospita per la prima volta sul proprio shop online il brand partener ARMATA DI MARE come forma di solidarietà verso la pulizia delle acque degli oceani.,Privato,"80–99,99€"
"Mocassini Elsa cammello, vegani ecologici",97.5,https://www.privatoeco.com//products/mocassini-elsa-cammello-vegani-ecologici,donna,Mocassini,MEC6,36 - 41,cammello,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: EVA ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Mocassini leggeri color cammello opaco con accessorio morsetto lucido frontale. Leggera spazzolatura nera in punta. Scarpa senza lacci.Altezza suola 4 cm.   Modello con calzata abbondante. Consigliamo una taglia più piccola. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
"Mocassini Elsa grigio chiaro, vegani ecologici",97.5,https://www.privatoeco.com//products/mocassini-elsa-verde-chiaro-vegani-ecologici,donna,Mocassini,MEGC6,36 - 41,chiaro,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 42% PES riciclato 58% PU senza DMFSuola: EVA ultralight Etichetta + carta velina: carta riciclataScatola: carta riciclata,"Mocassini leggeri color grigio chiaro opaco con accessorio morsetto lucido frontale. Leggera spazzolatura nera in punta. Scarpa senza lacci.Altezza suola 4 cm.   Modello con calzata abbondante. Consigliamo una taglia più piccola. Questo prodotto è stato realizzato con materiali riciclati per tomaia, fodera, sottopiede di montaggio, soletta interna ed elementi packaging.",Privato,"80–99,99€"
